;TotalScore_MES;TotalDispersion_MES;TotalScore_EPI;TotalDispersion_EPI
TCGA.AN.A0XV.01;0.250239223655513;4917.7842;0.301799402318664;3385.5171
TCGA.AN.A0XW.01;0.27861059252462;3992.6418;0.271633097133814;3927.4074
TCGA.AO.A03L.01;0.216704842836065;4599.0252;0.317703660268321;2785.8054
TCGA.AO.A03M.01;0.204413464028849;4215.0318;0.251653514380382;4406.2872
TCGA.AO.A03N.01;0.202134906320427;5602.7454;0.300836118038531;3975.5919
TCGA.AO.A03O.01;0.153217843828704;4001.5374;0.250276586575484;5159.448
TCGA.AO.A03P.01;0.141935218292684;3817.695;0.238776166220407;4569.3732
TCGA.AO.A03R.01;0.186427595364247;5014.1532;0.270911075473164;4019.3286
TCGA.AO.A03T.01;0.162767745912542;5023.0488;0.285339498541121;3646.4547
TCGA.AO.A03U.01;0.248210290631105;4837.7238;0.263671077451306;4046.0154
TCGA.AO.A03V.01;0.163966354577214;4680.5682;0.294326619426763;3186.1074
TCGA.AO.A0J2.01;0.144402752434427;4481.8998;0.303716433410811;3642.7482
TCGA.AO.A0J3.01;0.0668696771637948;3160.9032;0.235690618663765;5154.2589
TCGA.AO.A0J4.01;0.214527072558747;5356.6338;0.223904427504645;5840.7027
TCGA.AO.A0J5.01;0.266202019030073;4738.3896;0.284437677944428;3475.9557
TCGA.AO.A0J6.01;0.130681305455061;4653.8814;0.23826538181664;4986.7251
TCGA.AO.A0J7.01;0.112540446816465;4054.911;0.28012921503105;4341.7941
TCGA.AO.A0J8.01;0.183999028456042;5058.6312;0.275052102835101;3941.4921
TCGA.AO.A0J9.01;0.271943386762391;4265.4402;0.235016284343716;4665.7422
TCGA.AO.A0JA.01;0.244533893289549;4699.842;0.304476958183501;3135.699
TCGA.AO.A0JB.01;0.181329333478655;5060.1138;0.280354581870333;3564.9117
TCGA.AO.A0JC.01;0.245434827448402;5165.3784;0.140014624117784;5103.8505
TCGA.AO.A0JD.01;0.11765042817079;4051.9458;0.28748896126375;4015.6221
TCGA.AO.A0JE.01;0.255417763901927;4539.7212;0.275769532381471;4079.3739
TCGA.AO.A0JF.01;0.293364231712648;4154.2452;0.276883296714166;3676.848
TCGA.AO.A0JG.01;0.232849582962705;4406.2872;0.279023221968675;3760.6149
TCGA.AO.A0JI.01;0.116957514581949;3900.7206;0.264489180272277;4196.4993
TCGA.AO.A0JJ.01;0.275311562076268;4185.3798;0.283275873031573;4226.1513
TCGA.AO.A0JL.01;0.184969400467138;5426.316;0.20589592149604;6004.53
TCGA.AO.A0JM.01;0.218141063729299;5518.2372;0.294366888736603;3256.5309
TCGA.AO.A124.01;0.127374071378596;5257.2996;0.235444057450882;5307.708
TCGA.AO.A125.01;0.0225580728974394;3555.2748;0.294908758221651;3078.6189
TCGA.AO.A126.01;0.235455992808934;4692.429;0.253197171257603;3770.2518
TCGA.AO.A128.01;0.204859975787578;5776.2096;0.178483118681427;6619.0677
TCGA.AO.A129.01;0.204953731537442;4556.0298;0.219766579298749;5240.991
TCGA.AO.A12A.01;0.224949196103042;5214.3042;0.281165619900104;3365.502
TCGA.AO.A12B.01;0.0960625807910875;4023.7764;0.283761930666139;3720.5847
TCGA.AO.A12C.01;0.241496792967381;5109.0396;0.275419118737946;4211.3253
